,Team,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
330,Minnesota Timberwolves*,4,47,35,.573,11.0,97.3,96.0,1.81,2001
331,Houston Rockets,5,45,37,.549,13.0,97.2,94.9,2.71,2001
332,Denver Nuggets,6,40,42,.488,18.0,96.6,99.0,-1.83,2001
333,Vancouver Grizzlies,7,23,59,.280,35.0,91.7,97.5,-4.94,2001
334,Pacific Division,8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001
335,Los Angeles Lakers*,9,56,26,.683,—,100.6,97.2,3.74,2001
336,Sacramento Kings*,10,55,27,.671,1.0,101.7,95.9,6.07,2001
337,Phoenix Suns*,11,51,31,.622,5.0,94.0,91.8,2.63,2001
338,Portland Trail Blazers*,12,50,32,.610,6.0,95.4,91.2,4.52,2001
339,Seattle SuperSonics,13,44,38,.537,12.0,97.3,97.3,0.55,2001
340,Los Angeles Clippers,14,31,51,.378,25.0,92.5,95.3,-2.23,2001
341,Golden State Warriors,15,17,65,.207,39.0,92.5,101.5,-8.11,2001
342,New Jersey Nets*,0,52,30,.634,—,96.2,92.0,3.67,2002
343,Boston Celtics*,1,49,33,.598,3.0,96.4,94.1,1.75,2002
344,Orlando Magic*,2,44,38,.537,8.0,100.5,98.9,1.25,2002
345,Philadelphia 76ers*,3,43,39,.524,9.0,91.0,89.4,1.27,2002
346,Washington Wizards,4,37,45,.451,15.0,92.8,94.2,-1.58,2002
347,Miami Heat,5,36,46,.439,16.0,87.2,88.7,-1.84,2002
348,New York Knicks,6,30,52,.366,22.0,91.6,95.6,-4.15,2002
349,Central Division,7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2002
350,Detroit Pistons*,8,50,32,.610,—,94.3,92.2,1.69,2002
351,Charlotte Hornets*,9,44,38,.537,6.0,93.9,92.9,0.57,2002
352,Toronto Raptors*,10,42,40,.512,8.0,91.4,91.8,-0.71,2002
353,Indiana Pacers*,11,42,40,.512,8.0,96.8,96.5,-0.07,2002
354,Milwaukee Bucks,12,41,41,.500,9.0,97.5,97.7,-0.62,2002
355,Atlanta Hawks,13,33,49,.402,17.0,94.0,98.3,-4.41,2002
356,Cleveland Cavaliers,14,29,53,.354,21.0,95.3,98.6,-3.52,2002
357,Chicago Bulls,15,21,61,.256,29.0,89.5,98.0,-8.52,2002
358,Midwest Division,0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2002
359,San Antonio Spurs*,1,58,24,.707,—,96.7,90.5,6.28,2002
360,Dallas Mavericks*,2,57,25,.695,1.0,105.2,101.0,4.41,2002
361,Minnesota Timberwolves*,3,50,32,.610,8.0,99.3,96.0,3.58,2002
362,Utah Jazz*,4,44,38,.537,14.0,96.0,95.1,1.21,2002
363,Houston Rockets,5,28,54,.341,30.0,92.3,97.2,-4.31,2002
364,Denver Nuggets,6,27,55,.329,31.0,92.2,98.0,-5.19,2002
365,Memphis Grizzlies,7,23,59,.280,35.0,89.9,97.3,-6.74,2002
366,Pacific Division,8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002
367,Sacramento Kings*,9,61,21,.744,—,104.6,97.0,7.61,2002
368,Los Angeles Lakers*,10,58,24,.707,3.0,101.3,94.1,7.15,2002
369,Portland Trail Blazers*,11,49,33,.598,12.0,96.6,93.7,3.21,2002
370,Seattle SuperSonics*,12,45,37,.549,16.0,97.7,94.7,3.24,2002
371,Los Angeles Clippers,13,39,43,.476,22.0,95.7,96.1,-0.09,2002
372,Phoenix Suns,14,36,46,.439,25.0,95.1,95.8,-0.30,2002
373,Golden State Warriors,15,21,61,.256,40.0,97.7,103.1,-4.80,2002
374,New Jersey Nets*,0,49,33,.598,—,95.4,90.1,4.42,2003
375,Philadelphia 76ers*,1,48,34,.585,1.0,96.8,94.5,1.76,2003
376,Boston Celtics*,2,44,38,.537,5.0,92.7,93.1,-0.75,2003
377,Orlando Magic*,3,42,40,.512,7.0,98.5,98.4,-0.39,2003
378,Washington Wizards,4,37,45,.451,12.0,91.5,92.5,-1.47,2003
379,New York Knicks,5,37,45,.451,12.0,95.9,97.2,-1.61,2003
380,Miami Heat,6,25,57,.305,24.0,85.6,90.6,-5.13,2003
381,Central Division,7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2003
382,Detroit Pistons*,8,50,32,.610,—,91.4,87.7,2.97,2003
383,Indiana Pacers*,9,48,34,.585,2.0,96.8,93.3,2.79,2003
384,New Orleans Hornets*,10,47,35,.573,3.0,93.9,91.8,1.52,2003
385,Milwaukee Bucks*,11,42,40,.512,8.0,99.5,99.3,-0.24,2003
386,Atlanta Hawks,12,35,47,.427,15.0,94.1,97.6,-3.87,2003
387,Chicago Bulls,13,30,52,.366,20.0,95.0,100.1,-5.31,2003
388,Toronto Raptors,14,24,58,.293,26.0,90.9,96.8,-6.10,2003
389,Cleveland Cavaliers,15,17,65,.207,33.0,91.4,101.0,-9.59,2003
390,Midwest Division,0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2003
391,San Antonio Spurs*,1,60,22,.732,—,95.8,90.4,5.65,2003
392,Dallas Mavericks*,2,60,22,.732,—,103.0,95.2,7.90,2003
393,Minnesota Timberwolves*,3,51,31,.622,9.0,98.1,96.0,2.46,2003
394,Utah Jazz*,4,47,35,.573,13.0,94.7,92.3,2.76,2003
395,Houston Rockets,5,43,39,.524,17.0,93.8,92.3,1.89,2003
396,Memphis Grizzlies,6,28,54,.341,32.0,97.5,100.7,-2.60,2003
397,Denver Nuggets,7,17,65,.207,43.0,84.2,92.4,-7.41,2003
398,Pacific Division,8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003
399,Sacramento Kings*,9,59,23,.720,—,101.7,95.2,6.68,2003
400,Los Angeles Lakers*,10,50,32,.610,9.0,100.4,98.0,2.71,2003
401,Portland Trail Blazers*,11,50,32,.610,9.0,95.2,92.5,2.97,2003
402,Phoenix Suns*,12,44,38,.537,15.0,95.5,94.4,1.57,2003
403,Seattle SuperSonics,13,40,42,.488,19.0,92.1,92.3,0.37,2003
404,Golden State Warriors,14,38,44,.463,21.0,102.4,103.6,-0.60,2003
405,Los Angeles Clippers,15,27,55,.329,32.0,93.8,97.9,-3.45,2003
406,New Jersey Nets*,0,47,35,.573,—,90.3,87.8,1.88,2004
407,Miami Heat*,1,42,40,.512,5.0,90.3,89.7,-0.13,2004
408,New York Knicks*,2,39,43,.476,8.0,92.0,93.5,-1.97,2004
409,Boston Celtics*,3,36,46,.439,11.0,95.3,96.7,-1.99,2004
410,Philadelphia 76ers,4,33,49,.402,14.0,88.0,90.5,-2.95,2004
411,Washington Wizards,5,25,57,.305,22.0,91.8,97.4,-6.12,2004
412,Orlando Magic,6,21,61,.256,26.0,94.0,101.1,-7.25,2004
413,Central Division,7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2004
414,Indiana Pacers*,8,61,21,.744,—,91.4,85.6,4.93,2004
415,Detroit Pistons*,9,54,28,.659,7.0,90.1,84.3,5.04,2004
416,New Orleans Hornets*,10,41,41,.500,20.0,91.8,91.9,-0.72,2004
417,Milwaukee Bucks*,11,41,41,.500,20.0,98.0,97.0,0.42,2004
418,Cleveland Cavaliers,12,35,47,.427,26.0,92.9,95.5,-3.07,2004
419,Toronto Raptors,13,33,49,.402,28.0,85.4,88.5,-3.42,2004
420,Atlanta Hawks,14,28,54,.341,33.0,92.8,97.5,-5.00,2004
421,Chicago Bulls,15,23,59,.280,38.0,89.7,96.0,-6.69,2004
422,Midwest Division,0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2004
423,Minnesota Timberwolves*,1,58,24,.707,—,94.5,89.1,5.86,2004
424,San Antonio Spurs*,2,57,25,.695,1.0,91.5,84.3,7.51,2004
425,Dallas Mavericks*,3,52,30,.634,6.0,105.2,100.8,4.86,2004
426,Memphis Grizzlies*,4,50,32,.610,8.0,96.7,94.3,2.95,2004
427,Houston Rockets*,5,45,37,.549,13.0,89.8,88.0,2.28,2004
428,Denver Nuggets*,6,43,39,.524,15.0,97.2,96.1,1.65,2004
429,Utah Jazz,7,42,40,.512,16.0,88.7,89.9,-0.53,2004
430,Pacific Division,8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004
431,Los Angeles Lakers*,9,56,26,.683,—,98.2,94.3,4.35,2004
432,Sacramento Kings*,10,55,27,.671,1.0,102.8,97.8,5.41,2004
433,Portland Trail Blazers,11,41,41,.500,15.0,90.7,92.0,-0.58,2004
434,Golden State Warriors,12,37,45,.451,19.0,93.3,94.0,-0.07,2004
435,Seattle SuperSonics,13,37,45,.451,19.0,97.1,97.8,0.02,2004
436,Phoenix Suns,14,29,53,.354,27.0,94.2,97.9,-2.94,2004
437,Los Angeles Clippers,15,28,54,.341,28.0,94.8,99.4,-3.74,2004
438,Boston Celtics*,0,45,37,.549,—,101.3,100.4,0.35,2005
439,Philadelphia 76ers*,1,43,39,.524,2.0,99.1,99.9,-1.07,2005
440,New Jersey Nets*,2,42,40,.512,3.0,91.4,92.9,-1.82,2005
441,Toronto Raptors,3,33,49,.402,12.0,99.7,101.4,-1.81,2005
442,New York Knicks,4,33,49,.402,12.0,97.3,99.7,-2.72,2005
443,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005
444,Detroit Pistons*,6,54,28,.659,—,93.3,89.5,3.31,2005
445,Chicago Bulls*,7,47,35,.573,7.0,94.5,93.4,0.65,2005
446,Indiana Pacers*,8,44,38,.537,10.0,93.0,92.2,0.49,2005
447,Cleveland Cavaliers,9,42,40,.512,12.0,96.5,95.7,0.27,2005
448,Milwaukee Bucks,10,30,52,.366,24.0,97.2,100.2,-3.09,2005
449,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005
450,Miami Heat*,12,59,23,.720,—,101.5,95.0,5.77,2005
451,Washington Wizards*,13,45,37,.549,14.0,100.5,100.8,-0.71,2005
452,Orlando Magic,14,36,46,.439,23.0,99.5,101.8,-2.52,2005
453,Charlotte Bobcats,15,18,64,.220,41.0,94.3,100.2,-6.15,2005
454,Atlanta Hawks,16,13,69,.159,46.0,92.7,102.5,-9.62,2005
455,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005
456,Seattle SuperSonics*,1,52,30,.634,—,98.9,96.6,2.59,2005
457,Denver Nuggets*,2,49,33,.598,3.0,99.5,97.5,2.23,2005
458,Minnesota Timberwolves,3,44,38,.537,8.0,96.8,95.3,1.73,2005
459,Portland Trail Blazers,4,27,55,.329,25.0,92.9,96.9,-3.45,2005
460,Utah Jazz,5,26,56,.317,26.0,93.0,97.3,-3.74,2005
461,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005
462,Phoenix Suns*,7,62,20,.756,—,110.4,103.3,7.08,2005
463,Sacramento Kings*,8,50,32,.610,12.0,103.7,101.6,2.56,2005
464,Los Angeles Clippers,9,37,45,.451,25.0,95.7,96.5,-0.47,2005
465,Los Angeles Lakers,10,34,48,.415,28.0,98.7,101.7,-2.32,2005
466,Golden State Warriors,11,34,48,.415,28.0,98.7,100.9,-1.74,2005
467,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005
468,San Antonio Spurs*,13,59,23,.720,—,96.2,88.4,7.84,2005
469,Dallas Mavericks*,14,58,24,.707,1.0,102.5,96.8,5.86,2005
470,Houston Rockets*,15,51,31,.622,8.0,95.1,91.0,4.27,2005
471,Memphis Grizzlies*,16,45,37,.549,14.0,93.4,91.1,2.64,2005
472,New Orleans Hornets,17,18,64,.220,41.0,88.4,95.5,-6.30,2005
473,New Jersey Nets*,0,49,33,.598,—,93.8,92.4,1.11,2006
474,Philadelphia 76ers,1,38,44,.463,11.0,99.4,101.3,-2.10,2006
475,Boston Celtics,2,33,49,.402,16.0,98.0,99.5,-1.59,2006
476,Toronto Raptors,3,27,55,.329,22.0,101.1,104.0,-3.03,2006
477,New York Knicks,4,23,59,.280,26.0,95.6,102.0,-6.30,2006
478,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2006
479,Detroit Pistons*,6,64,18,.780,—,96.8,90.2,6.24,2006
480,Cleveland Cavaliers*,7,50,32,.610,14.0,97.6,95.4,2.17,2006
481,Indiana Pacers*,8,41,41,.500,23.0,93.9,92.0,1.62,2006
482,Chicago Bulls*,9,41,41,.500,23.0,97.8,97.2,0.51,2006
483,Milwaukee Bucks*,10,40,42,.488,24.0,97.8,98.8,-1.07,2006
484,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2006
485,Miami Heat*,12,52,30,.634,—,99.9,96.0,3.59,2006
486,Washington Wizards*,13,42,40,.512,10.0,101.7,99.8,1.57,2006
487,Orlando Magic,14,36,46,.439,16.0,94.9,96.0,-1.26,2006
488,Charlotte Bobcats,15,26,56,.317,26.0,96.9,100.9,-3.90,2006
489,Atlanta Hawks,16,26,56,.317,26.0,97.2,102.0,-4.69,2006
490,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006
491,Denver Nuggets*,1,44,38,.537,—,100.3,100.1,0.36,2006
492,Utah Jazz,2,41,41,.500,3.0,92.4,95.0,-2.49,2006
493,Seattle SuperSonics,3,35,47,.427,9.0,102.6,105.6,-2.88,2006
494,Minnesota Timberwolves,4,33,49,.402,11.0,91.7,93.6,-1.75,2006
495,Portland Trail Blazers,5,21,61,.256,23.0,88.8,98.3,-8.91,2006
496,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006
497,Phoenix Suns*,7,54,28,.659,—,108.4,102.8,5.48,2006
498,Los Angeles Clippers*,8,47,35,.573,7.0,97.2,95.6,1.75,2006
499,Los Angeles Lakers*,9,45,37,.549,9.0,99.4,96.9,2.53,2006
500,Sacramento Kings*,10,44,38,.537,10.0,98.9,97.3,1.61,2006
501,Golden State Warriors,11,34,48,.415,20.0,98.5,99.8,-1.11,2006
502,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006
503,San Antonio Spurs*,13,63,19,.768,—,95.6,88.8,6.69,2006
504,Dallas Mavericks*,14,60,22,.732,3.0,99.1,93.1,5.96,2006
505,Memphis Grizzlies*,15,49,33,.598,14.0,92.2,88.5,3.74,2006
506,New Orleans/Oklahoma City Hornets,16,38,44,.463,25.0,92.8,95.6,-2.51,2006
507,Houston Rockets,17,34,48,.415,29.0,90.1,91.7,-1.30,2006
508,Toronto Raptors*,0,47,35,.573,—,99.5,98.5,0.61,2007
509,New Jersey Nets*,1,41,41,.500,6.0,97.6,98.3,-1.00,2007
510,Philadelphia 76ers,2,35,47,.427,12.0,94.9,98.0,-3.26,2007
511,New York Knicks,3,33,49,.402,14.0,97.5,100.3,-3.06,2007
512,Boston Celtics,4,24,58,.293,23.0,95.8,99.2,-3.70,2007
513,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007
514,Detroit Pistons*,6,53,29,.646,—,96.0,91.8,3.69,2007
515,Cleveland Cavaliers*,7,50,32,.610,3.0,96.8,92.9,3.33,2007
516,Chicago Bulls*,8,49,33,.598,4.0,98.8,93.8,4.52,2007
517,Indiana Pacers,9,35,47,.427,18.0,95.6,98.0,-2.62,2007
518,Milwaukee Bucks,10,28,54,.341,25.0,99.7,104.0,-4.43,2007
519,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2007
520,Miami Heat*,12,44,38,.537,—,94.6,95.5,-1.21,2007
521,Washington Wizards*,13,41,41,.500,3.0,104.3,104.9,-0.80,2007
522,Orlando Magic*,14,40,42,.488,4.0,94.8,94.0,0.35,2007
523,Charlotte Bobcats,15,33,49,.402,11.0,96.9,100.6,-3.97,2007
524,Atlanta Hawks,16,30,52,.366,14.0,93.7,98.4,-4.86,2007
525,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007
526,Utah Jazz*,1,51,31,.622,—,101.5,98.6,3.06,2007
527,Denver Nuggets*,2,45,37,.549,6.0,105.4,103.7,1.69,2007
528,Portland Trail Blazers,3,32,50,.390,19.0,94.1,98.4,-3.78,2007
529,Minnesota Timberwolves,4,32,50,.390,19.0,96.1,99.7,-3.16,2007
530,Seattle SuperSonics,5,31,51,.378,20.0,99.1,102.0,-2.45,2007
531,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007
532,Phoenix Suns*,7,61,21,.744,—,110.2,102.9,7.28,2007
533,Los Angeles Lakers*,8,42,40,.512,19.0,103.3,103.4,0.24,2007
534,Golden State Warriors*,9,42,40,.512,19.0,106.5,106.9,0.00,2007
535,Los Angeles Clippers,10,40,42,.488,21.0,95.6,96.1,-0.07,2007
536,Sacramento Kings,11,33,49,.402,28.0,101.3,103.1,-1.35,2007
537,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007
538,Dallas Mavericks*,13,67,15,.817,—,100.0,92.8,7.28,2007
539,San Antonio Spurs*,14,58,24,.707,9.0,98.5,90.1,8.35,2007
540,Houston Rockets*,15,52,30,.634,15.0,97.0,92.1,5.04,2007
541,New Orleans/Oklahoma City Hornets,16,39,43,.476,28.0,95.5,97.1,-1.19,2007
542,Memphis Grizzlies,17,22,60,.268,45.0,101.6,106.7,-4.44,2007
543,Boston Celtics*,0,66,16,.805,—,100.5,90.3,9.30,2008
544,Toronto Raptors*,1,41,41,.500,25.0,100.2,97.3,2.47,2008
545,Philadelphia 76ers*,2,40,42,.488,26.0,96.6,96.2,0.19,2008
546,New Jersey Nets,3,34,48,.415,32.0,95.8,100.9,-5.15,2008
547,New York Knicks,4,23,59,.280,43.0,96.9,103.5,-6.55,2008
548,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008
549,Detroit Pistons*,6,59,23,.720,—,97.5,90.1,6.67,2008
550,Cleveland Cavaliers*,7,45,37,.549,14.0,96.4,96.7,-0.53,2008
551,Indiana Pacers,8,36,46,.439,23.0,104.0,105.4,-1.87,2008
552,Chicago Bulls,9,33,49,.402,26.0,97.3,100.4,-3.19,2008
553,Milwaukee Bucks,10,26,56,.317,33.0,97.0,103.9,-6.92,2008
554,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008
555,Orlando Magic*,12,52,30,.634,—,104.5,99.0,4.79,2008
556,Washington Wizards*,13,43,39,.524,9.0,98.8,99.2,-0.61,2008
557,Atlanta Hawks*,14,37,45,.451,15.0,98.2,100.0,-2.23,2008
558,Charlotte Bobcats,15,32,50,.390,20.0,97.1,101.4,-4.49,2008
559,Miami Heat,16,15,67,.183,37.0,91.4,100.0,-8.53,2008
560,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008
561,Utah Jazz*,1,54,28,.659,—,106.2,99.3,6.86,2008
562,Denver Nuggets*,2,50,32,.610,4.0,110.7,107.0,3.74,2008
563,Portland Trail Blazers,3,41,41,.500,13.0,95.4,96.3,-0.52,2008
564,Minnesota Timberwolves,4,22,60,.268,32.0,95.6,102.4,-6.26,2008
565,Seattle SuperSonics,5,20,62,.244,34.0,97.5,106.3,-8.04,2008
566,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008
567,Los Angeles Lakers*,7,57,25,.695,—,108.6,101.3,7.34,2008
568,Phoenix Suns*,8,55,27,.671,2.0,110.1,105.0,5.14,2008
569,Golden State Warriors,9,48,34,.585,9.0,111.0,108.8,2.38,2008
570,Sacramento Kings,10,38,44,.463,19.0,102.5,104.8,-1.86,2008
571,Los Angeles Clippers,11,23,59,.280,34.0,93.8,101.1,-6.56,2008
572,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008
573,New Orleans Hornets*,13,56,26,.683,—,100.9,95.6,5.46,2008
574,San Antonio Spurs*,14,56,26,.683,—,95.4,90.6,5.10,2008
575,Houston Rockets*,15,55,27,.671,1.0,96.7,92.0,4.83,2008
576,Dallas Mavericks*,16,51,31,.622,5.0,100.4,95.9,4.70,2008
577,Memphis Grizzlies,17,22,60,.268,34.0,100.7,106.9,-5.76,2008
578,Boston Celtics*,0,62,20,.756,—,100.9,93.4,7.44,2009
579,Philadelphia 76ers*,1,41,41,.500,21.0,97.4,97.3,0.16,2009
580,New Jersey Nets,2,34,48,.415,28.0,98.1,100.5,-2.31,2009
581,Toronto Raptors,3,33,49,.402,29.0,99.0,101.9,-2.54,2009
582,New York Knicks,4,32,50,.390,30.0,105.2,107.8,-2.33,2009
583,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009
584,Cleveland Cavaliers*,6,66,16,.805,—,100.3,91.4,8.68,2009
585,Chicago Bulls*,7,41,41,.500,25.0,102.2,102.5,-0.16,2009
586,Detroit Pistons*,8,39,43,.476,27.0,94.2,94.7,-0.36,2009
587,Indiana Pacers,9,36,46,.439,30.0,105.1,106.2,-0.76,2009
588,Milwaukee Bucks,10,34,48,.415,32.0,99.3,100.4,-0.88,2009
589,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009
590,Orlando Magic*,12,59,23,.720,—,101.0,94.4,6.48,2009
591,Atlanta Hawks*,13,47,35,.573,12.0,98.1,96.5,1.70,2009
592,Miami Heat*,14,43,39,.524,16.0,98.3,98.0,0.49,2009
593,Charlotte Bobcats,15,35,47,.427,24.0,93.6,94.9,-1.20,2009
594,Washington Wizards,16,19,63,.232,40.0,96.1,103.5,-6.98,2009
595,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009
596,Denver Nuggets*,1,54,28,.659,—,104.3,100.9,3.13,2009
597,Portland Trail Blazers*,2,54,28,.659,—,99.4,94.1,5.00,2009
598,Utah Jazz*,3,48,34,.585,6.0,103.6,100.9,2.31,2009
599,Minnesota Timberwolves,4,24,58,.293,30.0,97.8,102.7,-4.74,2009
600,Oklahoma City Thunder,5,23,59,.280,31.0,97.0,103.1,-6.04,2009
601,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009
602,Los Angeles Lakers*,7,65,17,.793,—,106.9,99.3,7.11,2009
603,Phoenix Suns,8,46,36,.561,19.0,109.4,107.5,1.62,2009
604,Golden State Warriors,9,29,53,.354,36.0,108.6,112.3,-3.80,2009
605,Los Angeles Clippers,10,19,63,.232,46.0,95.1,103.9,-8.47,2009
606,Sacramento Kings,11,17,65,.207,48.0,100.6,109.3,-8.60,2009
607,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009
608,San Antonio Spurs*,13,54,28,.659,—,97.0,93.3,3.36,2009
609,Houston Rockets*,14,53,29,.646,1.0,98.4,94.4,3.73,2009
610,Dallas Mavericks*,15,50,32,.610,4.0,101.7,99.8,1.68,2009
611,New Orleans Hornets*,16,49,33,.598,5.0,95.8,94.3,1.41,2009
612,Memphis Grizzlies,17,24,58,.293,30.0,93.9,99.3,-5.23,2009
613,Boston Celtics*,0,50,32,.610,—,99.2,95.6,3.37,2010
614,Toronto Raptors,1,40,42,.488,10.0,104.1,105.9,-1.83,2010
615,New York Knicks,2,29,53,.354,21.0,102.1,105.9,-4.01,2010
616,Philadelphia 76ers,3,27,55,.329,23.0,97.7,101.6,-3.93,2010
617,New Jersey Nets,4,12,70,.146,38.0,92.4,101.5,-8.93,2010
618,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010
619,Cleveland Cavaliers*,6,61,21,.744,—,102.1,95.6,6.17,2010
620,Milwaukee Bucks*,7,46,36,.561,15.0,97.7,96.0,1.37,2010
621,Chicago Bulls*,8,41,41,.500,20.0,97.5,99.1,-1.64,2010
622,Indiana Pacers,9,32,50,.390,29.0,100.8,103.8,-3.11,2010
623,Detroit Pistons,10,27,55,.329,34.0,94.0,99.1,-5.02,2010
624,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010
625,Orlando Magic*,12,59,23,.720,—,102.8,95.3,7.12,2010
626,Atlanta Hawks*,13,53,29,.646,6.0,101.7,97.0,4.44,2010
627,Miami Heat*,14,47,35,.573,12.0,96.5,94.2,1.99,2010
628,Charlotte Bobcats*,15,44,38,.537,15.0,95.3,93.8,1.30,2010
629,Washington Wizards,16,26,56,.317,33.0,96.2,101.0,-4.72,2010
630,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010
631,Denver Nuggets*,1,53,29,.646,—,106.5,102.4,4.15,2010
632,Utah Jazz*,2,53,29,.646,—,104.2,98.9,5.33,2010
633,Portland Trail Blazers*,3,50,32,.610,3.0,98.1,94.8,3.18,2010
634,Oklahoma City Thunder*,4,50,32,.610,3.0,101.5,98.0,3.55,2010
635,Minnesota Timberwolves,5,15,67,.183,38.0,98.2,107.8,-9.06,2010
636,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010
637,Los Angeles Lakers*,7,57,25,.695,—,101.7,97.0,4.78,2010
638,Phoenix Suns*,8,54,28,.659,3.0,110.2,105.3,4.67,2010
639,Los Angeles Clippers,9,29,53,.354,28.0,95.7,102.1,-6.01,2010
640,Golden State Warriors,10,26,56,.317,31.0,108.8,112.4,-3.28,2010
641,Sacramento Kings,11,25,57,.305,32.0,100.0,104.4,-4.06,2010
642,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010
643,Dallas Mavericks*,13,55,27,.671,—,102.0,99.3,2.66,2010
644,San Antonio Spurs*,14,50,32,.610,5.0,101.4,96.3,5.07,2010
645,Houston Rockets,15,42,40,.512,13.0,102.4,102.7,-0.02,2010
646,Memphis Grizzlies,16,40,42,.488,15.0,102.5,104.0,-1.39,2010
647,New Orleans Hornets,17,37,45,.451,18.0,100.2,102.7,-2.27,2010
648,Boston Celtics*,0,56,26,.683,—,96.5,91.1,4.83,2011
649,New York Knicks*,1,42,40,.512,14.0,106.5,105.7,0.48,2011
650,Philadelphia 76ers*,2,41,41,.500,15.0,99.0,97.5,1.01,2011
651,New Jersey Nets,3,24,58,.293,32.0,94.2,100.4,-6.28,2011
652,Toronto Raptors,4,22,60,.268,34.0,99.1,105.4,-6.28,2011
653,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011
654,Chicago Bulls*,6,62,20,.756,—,98.6,91.3,6.53,2011
655,Indiana Pacers*,7,37,45,.451,25.0,99.8,100.9,-1.38,2011
656,Milwaukee Bucks,8,35,47,.427,27.0,91.9,92.7,-1.02,2011
